Job Title,Key Skills,Experience
 SENIOR SOFTWARE DEVELOPER (MVC .NET)," MySQL, Javascript, UML, server, css, Technical writing, html5, bootstrap, microsoft, Technical support, sql, cloud, ui, web, design, asp.net, mvc, api, architecture, level, Visual Studio, quality, MS SQL, infrastructure, .net, agile, angularjs, aws",4
 Client Relationship Partner," MIS reporting, Trade, Operational risk, Banking, Relationship, Client relationship, Saving",10
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)"," sales strategy, sales management, B2B Sales, corporate sales, institutional sales",5
 Dot Net Developer," soa, sql, relationship management, server, software, jquery, service oriented architectures, quality systems, software implementation, computer science, sql server 2008, design",7
 Lead Business Systems Analyst, Analyst,4
" Sr. Manager- Art in Mumbai ,, Opportunity @ Client side", Art Director,7
 Hiring for Domestic/ International Processes.contact the HR Asap," fresher, icse, inbound process, outbound, international bpo, uk process, bcom, communication skills, back office, cbse, web chat, chat process, Aviation, Guest Relations, Public Speaking, PR",4
 Sr . Manager," Automobile, Warehouse, Problem management, Manager Operations",1
 Manager Learning & Development,vide,3
 Urgent Requirement for CCE Telesales for Night Shift.," Outbound, Telesales, Night shift, English, process, Technical, Inbound calls, Service, Printers, Business Executive",4
 Vancancy for Inbound Tech Sales Executive," Outbound, Service, Technical support, process, Inbound calls, Domestic BPO, Bonus, Business Executive, Comp",7
 Infrastructure SSO Architect- Looking For Early Joiners," single sign - on, single sign on, IT Infrastructure, SSO",6
 Sr. Architect / Project Position: Sr. Architect / Project," layout, coordinating, material selection, ms, mep, photoshop, corel draw, co, monitoring, plumbing",10
Nosql (couchdb/redis/bigtable/dynamodb),"coding,database design,test cases,analytical,nosql,cassandra",7
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies," accent, auditing, soft skills, training needs, customer service, process compliance",4
" Walk- in , Hdfc Life , We are Hiring Freshers:5th till 20th Aug@ Delhi"," Sales, Fresher, Marketing",0
 AIT Global India Private Limited is Looking For JAVA Developer.," Java EE, Hibernate, Core Java, Software Development, Spring Mvc, Multithreading, OOD, JDBC, Spring Boot, JSF",10
" Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA"," Virtualization, Cloud computing, Server architecture, Windows Troubleshooting, Customer satisfaction, Manager Technology, Deployment, Management",0
 Relationship Manager - Bangalore," business development, sales, sales marketing, marketing executive, sales executive, sales officer, sales manager, area sales manager, territory sales manager, territory manager, area manager, regional manager, regional sales manager, regional business manager",1
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad," Sales, Sale, Networking Sales, It Solution Sales, Structured Cabling, Passive Networking, Data Center, Cable Tray, cabling, Data Center Rack, data - centre rack, LAN, UTP Cables",7
 Business Development Manager," marketing executive, distributors, customer profiling, sales strategy, market research, Business Development, sales executive",3
 Senior Manager-fundraising," fundraising, finance",1
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP," worldspan, travel sales consultants, galileo, amadeus, gds",5
 UI Developer (Frontend Developer)," Front end, Email, PDF, MIN, UI, phone, Strategic HR, Doc, Consultancy, Recruitment",1
 Netsuite Technical Consultant," CVS, ERP, Rest, middle east, Technical, Customization, E-commerce, CRM, Open, WHO",0
"Java Full Stack – Technical Lead, Senior Engineer","Java,Angular JS,Hibernate,Core Java,Technical Leader,Technical,Javascript,Spring,JQuery,JS framework",2
 ADM - External Affairs &amp; CSR - Bangalore," senior management, ngo, key skills, Corporate Social Responsibility, Govt Liasioning, corporate pr, External Communications",5
 Immediate Opening Asp.net MVC Developers For Mumbai (worli)," Asp.Net MVC, entity framework, API",6
 Home loan," Loans, Direct Sales Associate, Policies, Bfsi, Finance, Sanction, WHO",8
" Sr. Resident, General & Laparoscopic Surgery"," Monitoring, Senior Resident, RAM, DNB, Dmc",8
 Angular Developer - Fulcrum Digital," Angularjs, CSS, Responsive Web Design, Javascript, Bootstrap, HTML, JSON, JQuery, Web Development, Grunt",7
,"networking,Network,Lead,Network,Lead,Network,Network,Lead,Network,networking,Lead,Leading,Network,Lead,Network,Lead,Network,Leading,Lead,Network,Network,Lead,Network,Lead,lead,Lead,Network,Network,Lead,Network,Network,Network,Lead,Networking,Lead,Lead,Network,Lead,Networking,Lead,Lead,Network,Network,Lead,Network,Networking,Lead,Lead,Lead,Lead,Network,Network,Lead",2
 Devops Engineer - Tools & Automation," python, open source, database, Automation, java, linux, perl, Monitoring, nosql",0
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last," PR, international bpo, chat process, Aviation, back office, web chat, Guest Relations, Public Speaking, bcom, fresher, inbound process, outbound, uk process, icse, communication skills, cbse",0
 QA Functional Testing," QA, Functional testing",5
 Sales Engineer, Sales Engineering,6
Software Engineer - Unity Developer,"Design Development,Software Engineering,Lighting,Computer Science,Product Quality,Automation Testing,Asset Management,GUI,Object Oriented Programming,Android",3
 Associate Level 1 - Fund Accounting," NAV calculation, Fund accounting, Automation, Corporate actions, Accounting, Process improvement, Analytical, Reconciliation, Standard operating procedures, Subject Matter Expert",7
 Associate Principal Analyst - Network Security Research," Networking, Secondary research, Recruitment, Analyst, Network security, Research, IPS, Advisory, Firewall",0
 Training Specialist," Team Management, Training Need Analysis, sales training, Retail Sales, MS Office, Product Training, Training, Team Building, Skill Development, Retail Marketing, trainer, Regional Management, Competency Mapping, Training Delivery",4
 Urgent Opening For Field Recruiter ," hiring, HRIS, procurement, HR, sourcing, Recruitment, staffing",8
 JAVA Developer," Computer science, Continuous improvement",3
 Urgent Openings For Pharma Freshers," pharmaceutical, medical, Pharma, medical billing, healthcare",8
 Front End Developer - Wordpress/html/css/javascript," CSS, Wordpress, MySQL, Javascript, PHP, HTML, JQuery, SEO, Ajax, Hosting",0
Mechanical Maintenance – Btech / Diploma,"mechanical operation,preventive maintenance,mechanical,engineeringbreak down maintenance,mechanical maintenance",3
 PHP Developer," javascript, html, ajax, jquery, php mysql, smarty, api, analytical, third party, software development life cycle",9
Sr.consultant-power Distribution,"Renewable energy,Power distribution,Power sector,Banking,Electricals",8
" Chinese, Spanish Language Expert (proofcheck Medical Content),"," spanish language expert, chinese, spanish, medical",6
 Hiring for Tech Sales_Inbound UK/ US Voice Process," Sales Associate, support, Voice process, Issue, Senior, Technical, Inbound calls, Bonus, US shift, Software",2
 SUPPORT Engineers (FEMALE CANDIDATES)," MCSE, Database, Support Engineer",9
 MS SQL Developer : 0 - 2 Years (only MALE Candidates)," SSRS, SQL Server, Stored Procedures, SQL Development, MS SQL",6
" Machine Learning Engineer ,, Gurgaon/chandigarh Location"," GIT, Linux, Machine Learning, Python",8
 Nurses," GNM, Business Executive",3
 Marketing Executive," institutions, relationships, marketing executive, customer, customers, implementation, company, site, product",9
HR Recruiter (volume Hiring),"Recruitment,Volume Hiring,HR,BPO Hiring,Sourcing,Interviewing,Onboarding,Staffing,Orientation,Human Resource Management",5
 Java Full Stack Developer," Java, CSS, Rest, Spring Mvc, Javascript, HTML, JPA, Spring Boot, JQuery, Web Services",3
 GM Finance- Export Import Company," financial analysis, financial planning, taxation, VP Finance",5
 Content Writer," Publishing, SEO, Content management, Social media, Wordpress, Management systems, Research, Brand awareness, Web technologies, Journalism",2
 Job Opening for Sm/avp_credit Audit_mumbai," Auditing, Audit Planning, Risk Assessment, Banking, Credit Risk, Credit Policy",4
 iOS Game Developer," c++, development, gaming, C, software, HTML, ios, opengl, iphone, design, MySQL, JavaScript",3
 Hiring: Executive-business Developer(seller Acquisition) On Contract," business development, e - commerce, sales executive, sales associate, sales officer, sales, field sales, mba fresher, fresher, new product development, channel sales",9
 Java/j2ee Application Developer," rest, java, sql, oop, angularjs, ui development, oracle",8
" Accepting Application for Intership for Java, PHP, Web Design, Android"," Javascript, PHP, HTML, Visualization, jQuery, web, Programming, Commerce, Web designing, Application, Android",4
 Automation-Expert-Senior-Automation-Expert," Process automation, Commodity Markets, Artificial Intelligence, Market intelligence, Machine learning, Corporate, Relationship, Operations, Analytics, Robotics",0
 Product Manager- Marketing(consumer Durables)," IT Sales, Marketing Campaigns, Social Media, Btl, Marketing Management, Digital Marketing, Dealer Sales, Channel Partners, Communication Skills, Process Flow",3
 Embedded Android Engineer," Android, Troubleshooting, Middleware, Firmware, SOC, Linux kernel, Bluetooth, Computer science, Test scripts, Test strategy",9
 Inbound International BPO Voice Process-US Shift," Outbound, Antivirus, Technical support, Voice process, Technical Support Executive, US shift, Inbound voice process, Customer Service Executive, Comp, International BPO",4
 Jr. Support Executives,vide,3
 Sales Executive," Sales Executive, Cold calling, market research, customer profiling, sales executive, marketing executive, distributors, Business Development, sales strategy",0
 Recruitment Officer ," Administration, HR, Recruitment, Recruitment Executive, IR",7
 Senior Principal Software Engineer," Web development, Analytics, Healthcare, Software design, Monitoring, JIRA, Computer science, Backend, Inside sales, Cloud",8
 Senior Branch Sales & Development Head - Agency - General Insurance," Team Management, Advisory Services, General Insurance, Sales Initiatives, Financial Products, Distributor Sales, Branch Sales, Sales Development, Motor Insurance, Marketing",4
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition," clinical pharmacy, mr, sales officer, territory executive, business development, sales executive",5
 Urgent job Position For SAP MDG Functional Analyst- All Over India,vide,6
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon," sap, procurement, scm, material, sheetmetal, sheet metal, purchase, VD, vendor development, sourcing, BOP",0
 Java with AngularJS and Spring," Angularjs, CSS, Core Java, DOM, Computer Science, Javascript, HTML, Spring, Ajax",2
 Manager- Admission," data analysis, Admissions, placements, Help Desk, access controls, Asset Management",7
 Full Time Academic Writer for Ca/cma- Accounting & Taxation," academic research, accounting, taxation, ifrs, us gaap, international taxation, cost accounting, company secretary, auditing, company law, corporate law, icwa, cma",0
 Sales Head for It Consulting Company in Gurgaon," marketing, bdm, sales, business development, it sales, ncr, hardware sales",8
 Adeeba Group is Currently hiring for US Inbound Tech Process.," Outbound, Night shift, Service, English, process, Technical, Technical support, Inbound calls, Voice process, Group",1
 Mechanical Engineer Require For Shut Down," RT, PT, MPI, NDT Inspection, NDT Level, Diploma, Quality Inspection, Level Ii, Inspection Engineering, Mechanical Engineering, UT",10
 CARE Specialist," Customer service, Healthcare, Customer relationship, Windows, Graphic designing, CAD, Illustrator, Customer satisfaction, Application software",8
 Opening For Fresher," BPO, any graduate, Voice Process, Voice Support",1
 Technical Support Associate / Technical Sales Associate-Inbound Voice ," Outbound, Antivirus, Comp, Technical support, Technical Support Associate, technical sales associate, Sales, Technical Associate, Voice support, Inbound calls",7
 Head of Maintenance," Equipment Maintenance, Hydraulics, Inventory Management, Management Skills, Maintenance Head, Electricals",0
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)"," hive, apache, itil process, hadoop, big data, aws, core java",7
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore," motor insurance, insurance sales, insurance broking, general insurance",9
Spring Boot,"SQL,Hibernate,Multithreading,OOAD,Eclipse,Business process,Outsourcing,Version control,Memory management,Control system",9
 Sr. Engineer Design (Mechanical)," CATIA, AutoCAD, Pressure vessels, Mechanical, Primavera, PSCAD",7
 Senior Manager Cost & Program Management," Team Management, Project Execution, Program Management, Customer Experience, Data Analytics, Supply Chain, Operations Planning",10
 Manager Sales Commercial Segment," business development management, Sales Management",7
 Outbound Sales Executive," Outbound Sales, tele sales, Sales Executive Activities",3
 US Tech Process," Technical support, Outbound, Comp, Technical, Domestic BPO, US shift, process, Inbound calls, Bonus",3
" Community Manager,"," Operations, Inventory Management, Vendor Management, Bhm, Hospitality, Front Office, Guest Relations, Hospitality Management, hotel management",4
 Software Engineer- Mobile Applications - Android," financial s, windows, android, mobile development",2
 Hardware Board Design Engineer," Hardware Board Design, Mixed Signal, Design Engineering",9
 Corporate Head - Operations," environment, functional, operations, business, verbal communication, coaching, analytical skills",6
 HR Recruitment Executive," Screening, Linkedin, IT Recruitment, hr recruitment, Database, recruiter, Sourcing, Interviewing, Recruitment",8
 Software Engineer Android," java, linux, server, development, eclipse ide, c, technical, mobile, eclipse, objective c, usability, ui, design, debugging, backend, developer, programming, applications",1
 Sales Coordinator," Retail Sales, Sales Executive Activities, Revenue Generation, Inhouse Sales",3
 Ecommerce Executive," BPO, Customer Support, international bpo, Voice Process, International Voice, International Voice Process",10
 Team Lead / Dev Lead," J2Ee, Core Java, jQuery, ERP, Tomcat, Eclipse, Open source, Selenium, Computer science, OFBIZ",9
 Andriod Developer," Android Development, Android Studio, Java, Troubleshooting, API Testing, API",5
 Physics Teacher," Counselor, Mentor, Trainer, Advisor, Teaching",7
 Manager Sales &amp; Marketing," lead generation, branding, business development, Sales Management, market research, competitive intelligence, market analysis, Marketing",9
 Design Engineer," Wireless, Automation, Simulation, Networking, Aerospace, FPGA, Coding, System verilog, Automotive, Physical design",3
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ," hr, recruitment, recruiter, hiring, head hunting, leadership, mass hiring, volume hiring, bulk hiring, team leader, senior, tl, non it, it recruitment, technical hiring, it recruiter, bfsi, engineering, manufacturing, insurance, bpo, IT",1
 Associate, Associate,0
 Receptionist (Female)," Receptionist, Administration, Front Desk, Travel Arrangements, Front Office, Computer Operating",3
 Senior .NET Developer," javascript, html, sql server, ajax, jquery, soa, oop, english, proactive, asp net c",3
 Sales Manager : School & Higher Academic Books," marketing executive, Sales, distributors, customer profiling, sales strategy, market research, Business Development, sales executive",7
 Supply Chain - Import Export Executive," QMS, Impex, Environmental Management System, Warehouse Management System, Export Import Logistics",2
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi," Java, core java, J2EE, Hibernate, Spring, LDAP, ADFS, Json, SOAP, jQuery, REST, Javascript, Java Web Services, Java Api, Advanced Java, MVC, Web Services, Open Source, SOA, Cloud, spring integration",2
 Hiring for Spring Boot Developer-noida," spring boot, spring security, spring mvc",6
 Dynamic CRM Architect," Dynamics CRM, .Net, Azure, Visual Studio, Microsoft Dynamics, Solution Management, Root Cause, microservices, .NET development",2
 SE / SSE - DATA,vide,5
 Hiring for Accounts Manager (business Development)- Radio In," Marketing Strategy, Strategic Thinking, Interpersonal Communication, Sales, Promotions, Accounting, Account Management, Team Leading, Business Development Management, Advertising",3
Urgent Openings for O2C,"O2C,OTC,Order Management,Credit Management,Communication Skills",7
 ARCHITECTURAL CAD," visualization, m e p, modeling, drafting, design development, drawings, cad, preparation, quality",2
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division"," pnr, primetime, sta, floorplan, timing closure, synthesis, vlsi, Physical design, floor planning",9
 Assistant Manager Purchase, Assistant Manager Purchase,7
 Sr. Cloud Developer," SQL, Python, Analytics, Machine learning, Solution architecture, Analytical, SCALA, Cosmos, Programming, Data warehousing",10
 Hiring for Manager Quality ( Voice and Chat)," BPO, Transactional Quality, Quality Management, Quality manager, manager Quality",6
" South Indian Cook,",vide,10
 Sharepoint Support Engineer," IIS, Exchange Server, Windows Server, WSS, Sharepoint, Active Directory",3
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai," pharma chemicals, business development, api, intermediates, sales",5
 Java- Technical Lead- Tavant Technologies - Hyderabad," Hibernate, Design Patterns, Cloud, Spring Boot, Team Leader, core java, Web Services, Microservices",2
 Hiring For Oracle Apps DBA@ Hyderabad," Exadata, performance tuning, 11g, patching, sql, dataguard, rac, cassandra, oracle database, Weblogic, ebs, asm, apps dba, cloning",9
" Walk in For Pharmacist @ 1mg Technologies ,, Gurugram Sec 14"," hospital, pharma, pharmacy",1
" Agency Manager ,, Life Insurance ,,ahmedabad , Bhopal , Vadodara"," Sales, insurance sales, agency sales, Direct sales, life advisor, channel sales, life insurance advisor, life insurance, agency",4
 HR Trainer," Training Needs, Soft Skills, Accent, HR, Feedback, Coaching, Customer Service, Process Compliance",2
 Project Manager For Civil Work," Real Estate Construction, Project Management, Interpersonal Communication, Communication Skills, Project Manager, Project Coordinator, site coordinator",5
 Vacancy For Motion Graphic Artist," Graphics, Multimedia, Visualization, Infographics, Social Media, Adobe After Effects, Protools, Photoshop, Graphic Designing, English Language",0
 Business Associate," international bpo, Chat Process, voice based process, tele caller, process developer, Sales, b.a, exl, communication skills, Ba, Blended Process, bba, wipro, tcs, bbm, customer support, bcom, cse, accenture, Fresher, wns",0
 Project Support Officer/Administrator," project support, Banking, Maya, E-commerce, big data",4
" Immediate Requirement For Officer - IT @ Vibgyor High, Electronic City"," Networking, It Asset, Antivirus, Hardware Troubleshooting",3
 Procurement - MDM," Procurement, Business process, IT services, Automation, data services, Master data management, Consulting, Vendor, Troubleshooting, Business Executive",9
 If You're an Experienced in International Tech Sales Then Call Us / In," Recruitment, Outbound, Technical support, English, Comp, Email, Troubleshooting, Domestic BPO, International BPO, Inbound calls",2
 Senior Game Artist," Photoshop, Illustrator, Fine arts, Software design, User interface designing, game development, creative content, Supervision, Relationship Executive, Business Executive",5
 Manager (PR)," marketing, project management, PR, project planning",0
 Senior Engineer Project," Leadership training, Software development life cycle, Management",0
 PERL Developer," Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle, assembly language, Real Time Operating Systems",8
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta"," apache camel, Administration, Technical Support, redhat, Activemq",2
 Wire Industry," customer profiling, market research, sales executive, marketing executive, distributors, sales strategy, Business Development",6
 Manager Brand Marketing," customer segmentation, Brand management, Strategic partnerships, Brand marketing, Consumer insights, Performance appraisal, Operations, Promotional strategies, Marketing strategy, Recruitment",4
 Oracle Fusion Apps_manufacturing_any Location," Negotiation, Marine Operation, Oracle Fusion, Manufacturing, Inventory",0
 VP / Sr.vp Fire," Fire Safety, fire, Senior Management",5
 Data Science Engineer," Unix, data science, SQL, Linux, SAS, HTML, Perl, SDLC, Android, Python",4
Executive - Lab Instruments Maintenance,"Installation,Breakdown Maintenance,Preventive Maintenance",9
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi," dot matrix, printer, printer support, Laserjet, Hardware",4
 When you need a Roof you need a job. Come work with us," Outbound, Technical Support Associate, Email, Technical, US shift, Medical, Antivirus, Troubleshooting, Technical support, Comp",3
 Senior Data Analyst," Reporting, Data Analysis, Business Analytics, Data Analytics, kpo",9
" Java / J2EE, Web Services also experienced in AngularJS"," HTML, XML, Ajax, rest, Prototype, technical, developing, JSON, application architecture, SDLC, javascript, jQuery, Web services, java, application, web, design, Web designing, architecture, applications",4
 Senior US IT Recruiter / Senior US Recruiter," us it recruiter, us it recruitment, us it staffing, us staffing, us technical recruiter, us recruitment",0
 Service Engineer - Bhiwadi," service engineering, maintenance, breakdown, shutdown, amc, installation, repair, troubleshooting, field service engineer, Preventive Maintenance, breakdown maintenance, Field Engineer, Electrical Engineer",5
 Sales Manager," enterprise sales, relationship building, new business, sales strategy, B2B Sales, marketing management, cross selling, product marketing, consultative sales, b2b marketing, service sales, Corporate Sales, Key Accounts Manager",2
 Accounts Executive For 1-2 Years Experience," accounts executive, Accounting, accounts, finance",6
 Inbound Tour Manager," inbound, costing, selling, good communication, good communication skills, tickets, tour, experience, manager, packages",5
 Swimming Pool Technician," Monthly Reports, Maintenance, Technician Activities, Water Quality",7
Data Science Manager,"kaggle,NLP,data science,Artificial Intelligence,Natural Language Processing,analytical techniques,Text Mining,big data,machine learning,Deep Learning",7
 Associate Vice President - Talent Acquisition - Campus Hiring Program," Talent Acquisition, Recruitment, HR, Campus Hiring, recruitment, recruiting",9
 Governance & Performance-Performance Management-Professors," Counselor, Mentor, Trainer, Advisor, Teaching",4
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)"," project sales, Architects, Sales Operations, Sales Management, distributor, interior designers, Area Management, contractors, Area, Developers, consultants, dealer, territory management, Sales Manager",8
 Operations - SME / Retail," Retail, marketing executive, distributors, customer profiling, sales strategy, SME, market research, Business Development, Operations, sales executive",0
 Assistant Manager - HR Operations,vide,3
 Sr. Sales / Sales Executive," Manager Sales, Sales Manager, assistant sales manager, MICE, Travel Agent, Senior Sales Executive, senior sales officer, Corporate Sales, Hotel Sales, Room Sales, Sales Executive",2
 Senior Business Analyst - Sql/python," data analysis, vba, macros, advanced excel, oracle sql, google analytics, business analysis, python, data mining, business analyst",8
" .NET Developer (asp.net, MVC, C#)"," C#, CSS, XML, Asp Net, Javascript, Web Application, MS SQL Server, .Net, MVC, ASP.Net MVC, JQuery, Ajax",9
 Head- Land Management., land acquisition,10
 Sr. Business Analyst," Java, Tomcat, Eclipse, OOPS, HTML, UNIX, SQL, DB2, Weblogic, XML, Flex, Oracle, PL",5
 CNC Machine Operator," cnc, cnc operator, cnc maintenance, cnc programming",1
 Executive," Medical Representative, Senior Executive",9
 Presales Manager - Networking," Sales Engineer, solution architect, Presales, solution consultant, Technology Consultant",4
 Inside Sales Executive," Inside Sales, Lead Generation, Cold Calling, New Business, Customer Service, Proposal Writing, Follow Ups, Sales Executive Activities, Communication Skills, Convincing Power",6
 Customer Care Executive," Customer Care, Inbound Process, Night Shift, Customer Care Executive, Customer Care Officer, BPO, Domestic BPO, International BPO",2
 HR - Talent scout specialist," Performance management, Analytical, Design development, Conceptualization, HR, Continuous improvement, Sales support, Recruitment, Testing",0
 Sr. Sales Manager," Service delivery, Bfsi, enterprise mobility, Market intelligence, Tools, Application development, Sales process, microsoft, Middleware, Business Executive",8
 Laundry Executive, laundry,2
 Accounts executive," TDS, Financial statements, Invoice processing, business opportunity, Interpersonal skills, Tally ERP, Accounting, Analytical, Accounts receivable, Recruitment",4
 MBA HR - Experience," ERP, Succession Planning, MIS, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",7
 System Analyst," T-SQL, Web technologies, data manipulation, MIS, XML, Data structures, System Analyst, JSON, Scripting",6
 Account Assistance," Audit, Credit Officers, Internal audit, Accounting, Finance, Tax, Accounts, Risk Management",5
 Senior Embedded Engineer," gsm, ethernet, development, optimization, product development, troubleshooting, gps, lcd, embedded, spi",7
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai," Fortigate, Networking, Routing, Hyper - V, Dlp, Sophos, Windows, Virtualization, Switching, Firewall",2
 Java Developer," Java, Spring Boot, Web Services, Microservices",8
 Sr. Software Engineer Android/Hybrid," SQL, Android, jQuery, UML, Coding, Graphics, JSON, Test cases, System testing, SQLite",8
 Principal Engineer-Piping," HVAC, Architecture, Project management, CAD, thermal, Conceptualization, Instrumentation, Autodesk, Food processing, Project delivery",5
 Business Analyst - Structured Finance," electronic trading, structured finance, dcf, equity research, bloomberg, investment banking, business analysis, bonds, valuation, advanced excel, hedge fund, financial modelling, structured products, fixed income",0
Solution Architecting,"Product management,Analytical skills,software architecture,Prototype,Business analysis,Manager Technology,Outsourcing,Resource management,Operations,Solution architecting",5
 Sales / Business Development," Sales Head, Hospitality, Office automation, Residential sales, Sales strategy, Bfsi, management, Real estate sales, Flex, Executive search",8
" Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)"," biotechnology, microbiology, nursing, biomedical, medical coding, medical coder, pharmacy, life sciences",6
 Consultant," Com, Application support, Email, SAP IS-Utilities, level, Billing, change, Service, CRM, Entry level",7
 Network & Security Architect- Pune, Network,4
 Business Development Manager," ERP, RF, Action plan, Relationship, Software sales, Business planning, B2B Sales, RFQ, RFP, CRM",3
 Assistant Vice President - Stock Broking - Delhi," Equity, Currency, Mutual Funds, Commodities, Stock Broking, New Client Acquisition, Business Generation, Channel Distribution, Team Management, team handling, sales",10
,"Java,Trainer,Java,trainer,Trainer,java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,JAVA,TRAINER,JAVA,TRAINER,Java,Trainer,Java,Trainer,Java,Trainer,trainer,Trainer,Trainer,Java,Trainer,Java,Trainer,Trainer,Java,Java,Trainer,Java,Trainer,Java,Trainer,JAVA,TRAINER,Java,Trainer,Java,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Java,Java,Java,trainer,Java,Java,Java,Trainer,JAVA,Java,Java,Trainer,Java",0
 Production Manager in Press Shop & Projection Welding," Production Management, Weld Shop, Press Shop, pressing, sheetmetal",8
 salesfoce Developer +3Years / Mumbai," Salesforce Developer, sfdc developer, Salesforce",7
 Social Media Executive," website, facebook, online, Twitter, seo, internet, search engine optimisation",4
 Business Advisor,vide,9
" IT Recruiter, Technical Recruiter"," head hunting, talent acquisition, Recruitment Executive, it recruitment, screening, technical recruitment, hiring, recruitment consultant, recruitment, sourcing, excel powerpoint, staffing",1
 SAP PLM Consultant - SAP MM Module," SAP PLM, SAP MM, SAP EHS",8
 Python Manager - IIT/ IIM/ DSE/ ISI," Microstrategy, Business Intelligence, Cognos, Business Objects, Tableau, AWS, Python, SQL",4
 Marketing Manager - Activation - Iit/nit," Marketing, Event Management, Brand Management",4
 Hiring .Net Developers for Hyderabad Location," asp.net, ado.net, MVC",3
 Senior BI Cognos Developer," SQL, Oracle, Cognos, Business intelligence, Automotive, Supply chain, DBMSTools, metadata",0
 Technical Support Engineer," Technical support, SAN, Veritas, Data management, NetBackup, Windows OS, WebEx, Unix operating system, TCP/IP, IT infrastructure",5
 Senior Drupal Developer," Drupal, Linux, MySQL, Python, Consulting, Procurement, Monitoring, Front end, Backend, Django",2
 Pre Sales Executive," Presales, Real Estate Sales, Residential Sales, Sales Executive Activities",8
 Head - Sales &amp; Strategy (telematics)," b2b sales, team management, kam, commercial vehicle, sales strategy, enterprises sales",6
 Content Writer Required for a Monthly Magazine," Editing, proof reading, content writer, editor, Articles, Article Writing, Content Editor, Journalism, Mass Communication, Copywriter, Associate Editor, Sub Editor, English Writing, Research, Social Media",6
 Sales Engineers," set, eee, interpersonal skills, selling, sales marketing, travel, marketing management, hardware",3
 Senior Laravel Developer," MySQL, Wordpress, Javascript, Flex, CMS, PHP, HTML, JSON, Joomla, Ajax",2
" Medical Scribe Chandigarh Mohali Noida No Fees, Salary-26k To 48k"," MBBS, B.sc, Biotech, Dermatology, Rheumatology, ENT, BDS, Medicine, Pathology, Immunology, Medical Transcription, Radiology, Genetics, BAMS, MDS",1
 Hub-Incharge Bangalore," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",10
" QA - Associate , - Business - Operations - DM"," QA, Data management, GDB, Fixed income, Data quality, HTTP, Operations, Python",3
" Back Office Executive,data Entry Operators,domestic BPO"," back office processing, BPO, part time, data entry, computer operator, backend, non voice, chat process, account, marketing, inbound process",5
 Sr Equity Advisor - 5 nos," shares, market research, communication skills",8
 Data Scientist - Sql/nosql," SQL, NoSQL, R, Python, Scala, Data Visualization, Machine Learning, Data Science, Data Modeling, Algorithm",5
 Hiring For Day Shift Non Voice Sal. Up To 24K," international bpo, IT Helpdesk, freshers, customer care, international voice, call center, customer support, technical helpdesk, service desk, bpo fresher, uk, us, communication skills",1
,vide,2
 React.js Developer," jQuery, MySQL, Struts, Javascript, Database, JSF",2
 Requirement in Private bank for BDE," Business Development, Sales, Bde, New Business, Business Analyst, Business Development Manager, Business Development Executive, Senior Business Analyst, Sales Manager, Banker, Private Banker, Sales Officer",10
 Physics- TGT," Counselor, Mentor, Trainer, Advisor, Teaching",6
 Technical Sales Executive -mumbai," sales engineer, Technical Sales, Sales Executive Activities",4
 Urgent Opening - Hp-ux Administrator, Unix,0
 Support Executive," Interpersonal skills, Direct marketing, IT hardware, Management, Support Executive",7
 J. Stores - Manager," Analytical skills, Technical, Educational qualification, Stores, Management, Forecasting, Electricals, Inventory, Cables, Organization skills",9
 Product Manager," product management, product pricing, sales, market research, user experience, marketting, asm, tsm, sales manager",0
,vide,0
 Draughtsman," AutoCAD, Costing, Draughtsman, Civil, 3D",10
 Senior Java Tech Lead - Spring Boot/ Data Structure," Java, SOA, TDD, SaaS, J2EE, Spring Boot, API, Algorithm, Data Structure",2
